Date,Open,High,Low,Close,Volume
2022-02-09,305.11224883399956,307.40449169025936,303.01728094952256,306.5401916503906,558500
2022-02-10,300.21781327903517,305.5538427607817,296.9861269913237,298.8180236816406,628800
2022-02-11,298.45162959903223,300.1802011665338,290.4851431548952,293.1156005859375,762800
2022-02-14,293.2001674815052,294.130206881849,288.74718814424267,290.61669921875,632700
2022-02-15,293.96106850540735,295.22932209920043,289.40476490449487,290.3442077636719,619000
2022-02-16,290.77637139670856,290.77637139670856,284.51030297872467,285.4309387207031,639600
2022-02-17,286.61461552969604,286.74615129000324,276.7222834706867,278.0563049316406,832000
2022-02-18,278.91125792088,280.50829388724384,272.9457888826773,273.2088317871094,725200
2022-02-22,274.89981380924013,281.569865030857,273.9603707828019,279.0897216796875,837600
2022-02-23,279.2493718155429,284.55721789243074,273.4905828744105,273.7066650390625,702400
2022-02-24,271.9311765351398,284.7827792153518,269.06588670772504,283.9936218261719,901000
2022-02-25,284.5760826322807,289.09480111247115,280.9404141851352,288.286865234375,632100
2022-02-28,285.4496832418087,287.3473472619573,281.0249159490095,285.0175476074219,969100
2022-03-01,299.2688994648731,308.50363834842466,292.1291283700824,297.51214599609375,1258500
2022-03-02,296.53518728306807,306.34297482959136,294.9945156189174,301.6927490234375,837400
2022-03-03,303.29916881017186,307.36694425852136,300.3868898672336,306.2865905761719,861900
2022-03-04,304.4264440450047,311.03072613307984,304.4264440450047,310.86163330078125,911800
2022-03-07,309.31162907322096,314.10279443741774,306.8221106855044,311.8011474609375,901800
2022-03-08,312.83446838875733,318.22686116211275,305.12165063402574,305.2249755859375,1011500
2022-03-09,310.2903083254849,311.66489092912303,306.5807942763365,307.1080322265625,548200
2022-03-10,304.010481689193,310.2903021703571,299.63251045647996,309.5465087890625,578100
2022-03-11,309.79128902626593,312.09794768769376,301.9674232694353,302.108642578125,670400
2022-03-14,302.28755955736955,306.76908220854267,297.83425203838715,301.939208984375,635000
2022-03-15,305.1496696899419,306.81614372566105,297.3728962083929,303.3890686035156,527700
2022-03-16,305.3285639412948,308.75563914070005,299.83020513035063,306.79730224609375,573800
2022-03-17,305.1120149379269,312.61577362138206,305.1120149379269,310.7610168457031,541100
2022-03-18,312.54045188123746,315.12018240908117,310.23379323551916,311.28826904296875,885800
2022-03-21,311.28826123117955,314.92243874296224,306.43954023879405,308.4355163574219,688400
2022-03-22,308.2943163710185,308.2943163710185,301.28012692316383,303.8504333496094,888400
2022-03-23,305.9028955006139,305.97820288967995,298.182580801163,301.7320556640625,566900
2022-03-24,302.400464033916,306.816102452986,299.8584018959376,306.37359619140625,496100
2022-03-25,308.1342744100031,310.1490992186763,305.545148102902,309.7442321777344,287200
2022-03-28,311.11878066637775,314.6588021999534,309.17929237789235,314.3575439453125,460500
2022-03-29,315.1390431431124,321.0987285644124,313.9527433389719,320.8257141113281,522800
2022-03-30,320.4302575566862,322.9346521847722,317.88822359811826,322.91583251953125,458400
2022-03-31,323.744265760855,327.9716214681668,322.8592819497715,323.9702453613281,991300
2022-04-01,325.25073135860265,330.5984756516323,323.32066696494917,330.0900573730469,585100
2022-04-04,329.459231516688,335.54134485146636,329.40274379068313,334.3079528808594,742100
2022-04-05,334.1384867222798,342.57432227407645,333.6018245977079,339.476806640625,729900
2022-04-06,338.2528094990862,351.6221255311216,337.36779690002504,348.4398498535156,861300
2022-04-07,348.32695052204565,350.20995157279435,345.1729180155784,347.6867370605469,867700
2022-04-08,347.25356542999623,353.95707213400146,345.50238855042574,350.916015625,629900
2022-04-11,345.59656887380777,352.1211599416779,339.67452313883194,340.1640930175781,581000
2022-04-12,340.6819258683743,341.41629503190507,332.3025780454433,333.7430725097656,771600
2022-04-13,334.8917393450688,335.6543524514885,328.8472934928115,333.865478515625,554500
2022-04-14,334.8540425520769,336.86883850843174,332.4814718392438,334.5904235839844,400100
2022-04-18,336.1156124644711,339.32613198658873,333.1592876837793,335.1364440917969,566800
2022-04-19,335.6637954979052,342.8756937980953,333.9220423118575,339.7969970703125,493400
2022-04-20,340.13579584879534,351.3773114917971,339.83453759571705,350.30401611328125,578100
2022-04-21,349.11776786537115,355.03981354244394,347.2065231652183,348.50579833984375,434900
2022-04-22,348.6470389589564,348.6470389589564,342.86624097728594,344.9281005859375,546100
2022-04-25,346.1425960894423,347.1970718786625,334.2420466695587,338.8836364746094,965100
2022-04-26,357.7606793871693,357.7606793871693,329.47803188582486,330.6549072265625,832000
2022-04-27,330.77732563394835,337.3490088241001,327.8492731571667,328.46124267578125,957200
2022-04-28,329.33681319393156,338.525865867241,324.82704717379096,338.2245788574219,723900
2022-04-29,337.10415322340623,337.10415322340623,326.18277330264857,326.80413818359375,690300
2022-05-02,327.6421144739737,331.58700315085144,314.1786712629384,318.1141357421875,827900
2022-05-03,320.7314878293756,331.84117960569927,317.18204212850986,328.48944091796875,1000400
2022-05-04,330.42905229046187,331.4741329281346,321.9179073023468,331.1634216308594,692400
2022-05-05,330.4854645226186,333.3758776853652,319.4134392072291,322.34149169921875,584900
2022-05-06,322.46386893204533,324.9870829669124,317.86934264031106,322.0778503417969,625400
2022-05-09,321.2869539197803,324.0832107559348,303.1160109492546,304.19873046875,513500
2022-05-10,308.0024525983647,308.0024525983647,292.6936470018746,296.8927307128906,714700
